City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,araouane,18.9048,-3.5265,18.3,20,1,5.4,ML,1675828612
220,moranbah,-22.0016,148.0466,29.26,58,65,7.83,AU,1675828613
221,polaniec,50.4332,21.2812,-5.26,98,87,2.06,PL,1675828390
222,polyarnyy,69.1989,33.4478,-1.91,82,31,8.77,RU,1675828613
223,porto novo,6.4965,2.6036,25.24,86,96,1.89,BJ,1675828614
224,burgersdorp,-30.9977,26.3286,15.57,83,100,1.35,ZA,1675828614
225,fort nelson,58.8053,-122.7002,-10.23,92,0,0.0,CA,1675828463
226,beyneu,45.3167,55.2,-3.24,65,100,9.78,KZ,1675828391
227,victoria,22.2855,114.1577,20.54,83,96,7.6,HK,1675828349
228,shakawe,-18.3667,21.85,18.98,97,99,2.39,BW,1675828615
229,zhoucheng,35.9122,116.3117,10.22,42,100,3.02,CN,1675828616
230,nieuw amsterdam,5.8833,-55.0833,24.45,90,66,3.95,SR,1675828616
231,mehamn,71.0357,27.8492,1.95,69,50,11.83,NO,1675828616
232,ostersund,63.1792,14.6357,1.25,80,57,6.69,SE,1675828347
233,bonito,-21.1211,-56.4819,21.54,96,51,1.71,BR,1675828617
234,sibolga,1.7427,98.7792,29.02,56,100,0.66,ID,1675828617
235,lompoc,34.6391,-120.4579,10.85,87,75,3.58,US,1675828325
236,khandyga,62.6667,135.6,-37.17,94,98,0.34,RU,1675828618
237,hokitika,-42.7167,170.9667,17.73,54,34,7.62,NZ,1675828618
238,tiksi,71.6872,128.8694,-37.26,99,98,2.7,RU,1675828619
239,aripuana,-9.1667,-60.6333,21.57,99,36,0.52,BR,1675828367
240,samarai,-10.6167,150.6667,27.94,79,100,7.35,PG,1675828487
241,havoysund,70.9963,24.6622,1.13,61,44,11.31,NO,1675828619
242,omsukchan,62.5333,155.8,-33.81,96,94,2.04,RU,1675828620
243,miles city,46.4083,-105.8406,2.54,69,0,3.6,US,1675828620
244,nizwa,22.9333,57.5333,21.42,39,29,0.5,OM,1675828621
245,tukrah,32.5341,20.5791,11.25,64,96,3.56,LY,1675828621
246,buzuluk,52.7807,52.2635,-21.24,100,20,1.61,RU,1675828622
247,avera,33.194,-82.5271,7.73,61,53,2.27,US,1675828623
248,noumea,-22.2763,166.4572,31.67,99,99,4.31,NC,1675828080
249,rabat,33.9911,-6.8401,11.13,80,40,4.12,MA,1675828624
250,ostrovnoy,68.0531,39.5131,-1.61,79,10,8.9,RU,1675828624
251,masvingo,-20.0637,30.8277,17.44,84,37,1.21,ZW,1675828626
252,yumen,40.2833,97.2,0.66,41,30,7.06,CN,1675828627
253,sistranda,63.7256,8.834,2.98,76,100,6.32,NO,1675828628
254,waipawa,-41.4122,175.5153,19.24,61,17,1.27,NZ,1675828628
255,krasnoselkup,65.7,82.4667,-32.15,100,99,1.77,RU,1675828629
256,digby,44.6169,-65.7655,-5.23,74,77,4.41,CA,1675828631
257,vallenar,-28.5708,-70.7581,22.28,57,26,1.21,CL,1675828632
258,kolondieba,11.0882,-6.8926,24.56,18,32,1.17,ML,1675828632
259,dwarka,22.2394,68.9678,22.65,59,28,4.03,IN,1675828632
260,shimoda,34.6667,138.95,11.2,77,68,3.86,JP,1675828633
261,ranong,9.9658,98.6348,29.96,54,11,1.26,TH,1675828633
262,canutama,-6.5339,-64.3831,22.7,98,96,1.06,BR,1675828634
263,kharp,66.8014,65.8081,-15.57,97,100,3.54,RU,1675828635
264,ixtapa,20.7,-105.2,21.24,83,1,1.09,MX,1675828635
265,elizabeth city,36.2946,-76.2511,10.01,77,0,5.14,US,1675828636
266,norman wells,65.282,-126.8329,-21.98,77,75,2.06,CA,1675828637
267,les cayes,18.2,-73.75,24.32,74,32,1.3,HT,1675828637
268,mount pleasant,32.7941,-79.8626,13.33,86,100,0.0,US,1675828489
